/*********************************************
 * OPL 12.7.1.0 Data
 * Author: PC
 * Creation Date: 2018年1月22日 at 下午3:50:53
 *********************************************/
NumNodes = 16;

NumDemands = 56;

NumNFs = 3;

Arcs = {
   // from, to, capacity
   <  0,    1,  10000 >,
   <  0,    4,  10000 >,
   <  0,    5,  10000 >,
   <  0,    6,  10000 >,
   <  0,    7,  10000 >,
   <  0,    11,  10000 >,
   <  0,    12,  10000 >,
   <  0,    14,  10000 >,
   <  1,    4,  10000 >,
   <  1,    5,  10000 >,
   <  1,    11,  10000 >,
   <  1,    12,  10000 >,
   <  1,    14,  10000 >, 
   <  2,    3,  10000 >,
   <  2,    5,  10000 >,
   <  2,    6,  10000 >,
   <  2,    7,  10000 >,
   <  2,    10,  10000 >,
   <  3,    6,  10000 >,
   <  3,    7,  10000 >,
   <  3,    8,  10000 >,
   <  3,    9,  10000 >,
   <  3,    10,  10000 >,
   <  4,    11,  10000 >,
   <  4,    12,  10000 >,
   <  4,    14,  10000 >,
   <  5,    6,  10000  >,
   <  5,    7,  10000 >,
   <  6,    7,  10000  >,
   <  6,    8,  10000 >,
   <  6,    9,  10000 >,
   <  6,    11,  10000 >,
   <  6,    12,  10000 >,
   <  6,    13,  10000 >,
   <  6,    14,  10000 >,
   <  8,    9,  10000 >,
   <  8,    10,  10000 >,
   <  8,    13,  10000 >,
   <  8,    14,  10000 >,
   <  8,    15,  10000 >,
   <  9,    10,  10000 >,
   <  9,    13,  10000 >,
   <  9,    14,  10000 >,
   <  11,   12,  10000 >,
   <  11,   14,  10000 >,
   <  12,   13,  10000 >,
   <  12,   14,  10000 >,
   <  13,   14,  10000 >,
   <  13,   15,  10000 >,
  
   //reverse
   <  1,    0,  10000 >,
   <  4,    0,  10000 >,
   <  5,    0,  10000 >,
   <  6,    0,  10000 >,
   <  7,    0,  10000 >,
   <  11,   0,  10000 >,
   <  12,   0,  10000 >,
   <  14,   0,  10000 >,
   <  4,    1,  10000 >,
   <  5,    1,  10000 >,
   <  11,   1,  10000 >,
   <  12,   1,  10000 >,
   <  14,   1,  10000 >, 
   <  3,    2,  10000 >,
   <  5,    2,  10000 >,
   <  6,    2,  10000 >,
   <  7,    2,  10000 >,
   <  10,   2,  10000 >,
   <  6,    3,  10000 >,
   <  7,    3,  10000 >,
   <  8,    3,  10000 >,
   <  9,    3,  10000 >,
   <  10,   3,  10000 >,
   <  11,   4,  10000 >,
   <  12,   4,  10000 >,
   <  14,   4,  10000 >,
   <  6,    5,  10000  >,
   <  7,    5,  10000 >,
   <  7,    6,  10000  >,
   <  8,    6,  10000 >,
   <  9,    6,  10000 >,
   <  11,   6,  10000 >,
   <  12,   6,  10000 >,
   <  13,   6,  10000 >,
   <  14,   6,  10000 >,
   <  9,    8,  10000 >,
   <  10,   8,  10000 >,
   <  13,   8,  10000 >,
   <  14,   8,  10000 >,
   <  15,   8,  10000 >,
